,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Car_Age,Company_Name,Model_Name
35,BMW 3,Chennai,2009,137000,Diesel,Automatic,Second,Others,5,4,9,13.2,kmpl,1995,CC,170,bhp,16,BMW,3
36,Mercedes-Benz C-Class,Mumbai,2018,8682,Diesel,Automatic,First,White,5,4,39.5,0,kmpl,1950,CC,194,bhp,7,Mercedes-Benz,C-Class
37,Volkswagen Polo,Kolkata,2012,55339,Diesel,Manual,First,White,5,4,2.65,22.07,kmpl,1199,CC,73.9,bhp,13,Volkswagen,Polo
38,Renault Duster,Delhi,2016,26000,Diesel,Manual,First,White,5,4,10,19.64,kmpl,1461,CC,108.45,bhp,9,Renault,Duster
39,BMW 5,Mumbai,2013,78000,Diesel,Automatic,First,Others,5,4,19.5,18.48,kmpl,1995,CC,177,bhp,12,BMW,5
40,Mahindra Thar,Coimbatore,2019,16392,Diesel,Manual,First,White,6,5,10.36,16.55,kmpl,2498,CC,105,bhp,6,Mahindra,Thar
41,BMW 3,Chennai,2010,83000,Diesel,Automatic,First,Others,5,4,12.75,16.07,kmpl,1995,CC,181,bhp,15,BMW,3
42,Maruti Alto,Hyderabad,2013,54000,Petrol,Manual,Second,Others,5,4,2.75,20.92,kmpl,998,CC,98.59,bhp,12,Maruti,Alto
43,Hyundai i20,Kolkata,2016,19008,Petrol,Manual,First,Others,5,4,5.25,17,kmpl,1197,CC,80,bhp,9,Hyundai,i20
44,Hyundai i10,Kolkata,2015,18000,Petrol,Manual,First,White,5,4,2.85,20.36,kmpl,1197,CC,78.9,bhp,10,Hyundai,i10
45,Honda Amaze,Delhi,2015,48000,Diesel,Manual,First,Others,5,4,4.5,25.8,kmpl,1498,CC,98.6,bhp,10,Honda,Amaze
46,Audi A3,Mumbai,2016,39000,Diesel,Automatic,First,Others,5,4,18.9,20.38,kmpl,1968,CC,143,bhp,9,Audi,A3
47,Tata Xenon,Pune,2014,85000,Diesel,Manual,First,White,5,4,3.5,13.49,kmpl,2179,CC,138.03,bhp,11,Tata,Xenon
48,Toyota Innova,Coimbatore,2019,31271,Diesel,Manual,First,White,8,5,21.42,13.68,kmpl,2393,CC,147.8,bhp,6,Toyota,Innova
49,BMW X1,Pune,2011,102000,Diesel,Automatic,First,Others,5,4,13.75,15.06,kmpl,1995,CC,177,bhp,14,BMW,X1
50,Hyundai Getz,Hyderabad,2006,63181,Petrol,Manual,First,Black/Silver,5,4,1.85,15.3,kmpl,1341,CC,83,bhp,19,Hyundai,Getz
51,Audi Q7,Bangalore,2014,45000,Diesel,Automatic,Second,White,7,5,37.9,12.07,kmpl,2967,CC,241.4,bhp,11,Audi,Q7
52,Volkswagen Vento,Jaipur,2013,144000,Diesel,Manual,First,Black/Silver,5,4,7,20.54,kmpl,1598,CC,103.6,bhp,12,Volkswagen,Vento
53,BMW 3,Mumbai,2010,67000,Diesel,Automatic,Second,White,5,4,9.25,22.69,kmpl,1995,CC,190,bhp,15,BMW,3
54,Volkswagen Vento,Jaipur,2013,125000,Diesel,Manual,Second,Others,5,4,6.25,20.54,kmpl,1598,CC,103.6,bhp,12,Volkswagen,Vento
55,Chevrolet Sail,Kolkata,2014,9500,Petrol,Manual,First,Black/Silver,5,4,3.5,18.2,kmpl,1199,CC,82.5,bhp,11,Chevrolet,Sail
56,Renault Duster,Bangalore,2014,52000,Petrol,Manual,First,White,5,4,5.99,13.24,kmpl,1598,CC,102.57,bhp,11,Renault,Duster
57,Maruti Ertiga,Kolkata,2013,53073,Diesel,Manual,First,Black/Silver,7,5,5.95,20.77,kmpl,1248,CC,88.76,bhp,12,Maruti,Ertiga
58,Maruti Alto,Ahmedabad,2009,35000,Petrol,Manual,First,White,5,4,1.5,19.7,kmpl,796,CC,46.3,bhp,16,Maruti,Alto
59,Hyundai Grand,Coimbatore,2016,29091,Petrol,Manual,First,Others,5,4,4.87,18.9,kmpl,1197,CC,81.86,bhp,9,Hyundai,Grand
60,Renault Duster,Kochi,2015,82603,Petrol,Manual,First,Others,5,4,4.9,13.06,kmpl,1598,CC,102.53,bhp,10,Renault,Duster
61,Volkswagen Jetta,Coimbatore,2016,44340,Diesel,Automatic,First,Black/Silver,5,4,13.83,16.96,kmpl,1968,CC,138.03,bhp,9,Volkswagen,Jetta
62,Maruti Alto,Bangalore,2011,64357,Petrol,Manual,First,Others,5,4,2.75,24.07,kmpl,998,CC,67.1,bhp,14,Maruti,Alto
63,Honda Jazz,Kolkata,2015,45000,Petrol,Manual,First,White,5,4,4.75,18.7,kmpl,1199,CC,88.7,bhp,10,Honda,Jazz
64,Maruti Ciaz,Coimbatore,2016,41810,Petrol,Manual,First,Black/Silver,5,4,7.11,20.73,kmpl,1373,CC,91.1,bhp,9,Maruti,Ciaz
65,Hyundai i10,Ahmedabad,2014,47003,Petrol,Manual,First,Black/Silver,5,4,3.67,20.36,kmpl,1197,CC,78.9,bhp,11,Hyundai,i10
66,Audi A6,Coimbatore,2009,48040,Diesel,Automatic,Second,Black/Silver,5,4,12.07,16.77,kmpl,2967,CC,241.38,bhp,16,Audi,A6
67,Honda Jazz,Kochi,2017,24700,Petrol,Manual,First,Black/Silver,5,4,7.07,18.7,kmpl,1199,CC,88.7,bhp,8,Honda,Jazz
68,Volkswagen Polo,Hyderabad,2012,63000,Diesel,Manual,First,Others,5,4,4.2,22.07,kmpl,1199,CC,73.9,bhp,13,Volkswagen,Polo
69,Honda CR-V,Pune,2015,63050,Petrol,Automatic,First,White,5,4,17.5,11.1,kmpl,2354,CC,158.8,bhp,10,Honda,CR-V
70,Mahindra XUV500,Kolkata,2013,87284,Diesel,Manual,First,White,7,5,7.8,15.1,kmpl,2179,CC,140,bhp,12,Mahindra,XUV500
71,Mercedes-Benz New,Hyderabad,2012,86000,Diesel,Automatic,First,White,5,4,19,14.84,kmpl,2143,CC,170,bhp,13,Mercedes-Benz,New
72,BMW 3,Kochi,2017,55389,Diesel,Automatic,First,Others,5,4,28.45,18.88,kmpl,1995,CC,184,bhp,8,BMW,3
73,Honda Civic,Mumbai,2008,87000,Petrol,Manual,First,White,5,4,2.35,13.5,kmpl,1799,CC,130,bhp,17,Honda,Civic
74,BMW X1,Hyderabad,2014,45000,Diesel,Automatic,First,Black/Silver,5,4,21.5,17.05,kmpl,1995,CC,184,bhp,11,BMW,X1
75,Hyundai Verna,Coimbatore,2013,66930,Petrol,Manual,First,Others,5,4,6.15,17.1,kmpl,1591,CC,121.3,bhp,12,Hyundai,Verna
76,Hyundai i10,Pune,2009,62500,Petrol,Manual,First,White,5,4,2.1,20.36,kmpl,1197,CC,78.9,bhp,16,Hyundai,i10
77,Honda Jazz,Hyderabad,2015,67000,Diesel,Manual,First,Others,5,4,6.9,27.3,kmpl,1498,CC,98.6,bhp,10,Honda,Jazz
78,Honda City,Coimbatore,2012,66245,Petrol,Manual,First,Black/Silver,5,4,5.68,17,kmpl,1497,CC,118,bhp,13,Honda,City
79,Honda City,Mumbai,2010,69000,Petrol,Automatic,Second,White,5,4,2.85,16.8,kmpl,1497,CC,118,bhp,15,Honda,City
80,Skoda Superb,Kochi,2016,61648,Petrol,Automatic,First,Others,5,4,14.23,13.7,kmpl,1798,CC,157.75,bhp,9,Skoda,Superb
81,Maruti Ritz,Coimbatore,2011,90207,Diesel,Manual,First,White,5,4,3.91,21.1,kmpl,1248,CC,73.9,bhp,14,Maruti,Ritz
82,Mitsubishi Pajero,Mumbai,2004,129000,Diesel,Manual,First,White,6,5,3.45,10.5,kmpl,2835,CC,107.2,bhp,21,Mitsubishi,Pajero
83,Toyota Corolla,Kolkata,2014,27000,Petrol,Manual,First,White,5,4,7.95,14.28,kmpl,1798,CC,138.03,bhp,11,Toyota,Corolla
84,Hyundai Elantra,Pune,2013,48823,Diesel,Automatic,First,Black/Silver,5,4,8.5,19.5,kmpl,1582,CC,126.24,bhp,12,Hyundai,Elantra
85,Audi Q7,Hyderabad,2011,98000,Diesel,Automatic,First,Others,7,5,22,12.07,kmpl,2967,CC,241.4,bhp,14,Audi,Q7
86,Ford Figo,Bangalore,2010,78400,Petrol,Manual,Second,Others,5,4,2.75,15.6,kmpl,1196,CC,70,bhp,15,Ford,Figo
87,Ford Figo,Hyderabad,2016,72566,Diesel,Manual,First,White,5,4,5.29,25.83,kmpl,1498,CC,99,bhp,9,Ford,Figo
88,Honda City,Delhi,2011,68000,Petrol,Manual,First,Black/Silver,5,4,3.6,17,kmpl,1497,CC,118,bhp,14,Honda,City
89,Hyundai EON,Pune,2015,55000,Petrol,Manual,First,Others,5,4,2.61,22,kmpl,814,CC,55,bhp,10,Hyundai,EON
90,Maruti Ertiga,Pune,2016,63000,Diesel,Manual,First,White,7,5,8.15,24.52,kmpl,1248,CC,88.5,bhp,9,Maruti,Ertiga
91,Nissan Teana,Mumbai,2015,74000,Petrol,Automatic,Second,Others,5,4,8.25,11.07,kmpl,2496,CC,179.5,bhp,10,Nissan,Teana
92,Honda Amaze,Jaipur,2018,6000,Petrol,Manual,First,White,5,4,6.7,19.5,kmpl,1199,CC,86.76,bhp,7,Honda,Amaze
93,Maruti SX4,Pune,2008,85000,Petrol,Manual,First,Black/Silver,5,4,2.5,16.51,kmpl,1586,CC,103.2,bhp,17,Maruti,SX4
94,Volkswagen Jetta,Kolkata,2012,67000,Diesel,Manual,First,White,5,4,5,19.33,kmpl,1968,CC,138.1,bhp,13,Volkswagen,Jetta
95,Maruti Swift,Jaipur,2016,41460,Diesel,Manual,First,White,5,4,5.9,25.2,kmpl,1248,CC,74,bhp,9,Maruti,Swift
96,Mercedes-Benz CLA,Coimbatore,2017,13689,Diesel,Automatic,First,Others,5,4,28.25,17.9,kmpl,2143,CC,136,bhp,8,Mercedes-Benz,CLA
97,Land Rover Range,Delhi,2015,37000,Diesel,Automatic,First,White,5,4,36,12.7,kmpl,2179,CC,187.7,bhp,10,Land Rover,Range
98,Volkswagen Polo,Kolkata,2012,45000,Diesel,Manual,First,White,5,4,2.99,22.07,kmpl,1199,CC,73.9,bhp,13,Volkswagen,Polo
99,Audi Q3,Coimbatore,2016,58661,Diesel,Automatic,First,Others,5,4,28.03,15.17,kmpl,1968,CC,181,bhp,9,Audi,Q3
100,Ford Fiesta,Bangalore,2011,47000,Diesel,Manual,Second,Black/Silver,5,4,6,23.5,kmpl,1498,CC,90,bhp,14,Ford,Fiesta
101,Tata Indica,Hyderabad,2011,96000,Diesel,Manual,Second,White,5,4,0.91,17.88,kmpl,1396,CC,52.8,bhp,14,Tata,Indica
102,BMW 5,Pune,2008,112500,Diesel,Automatic,First,Black/Silver,5,4,7.99,11.5,kmpl,2993,CC,235,bhp,17,BMW,5
103,Ford Ecosport,Coimbatore,2019,23154,Diesel,Manual,First,Black/Silver,5,4,11.65,23,kmpl,1498,CC,98.96,bhp,6,Ford,Ecosport
104,Maruti Ciaz,Kochi,2018,41283,Petrol,Manual,First,Others,5,4,9.9,20.73,kmpl,1373,CC,91.1,bhp,7,Maruti,Ciaz
105,Audi Q7,Coimbatore,2012,91743,Diesel,Automatic,First,Black/Silver,7,5,28.55,12.07,kmpl,2967,CC,241.4,bhp,13,Audi,Q7
106,Volvo S80,Hyderabad,2008,79000,Diesel,Automatic,First,Black/Silver,5,4,10.99,13.1,kmpl,2400,CC,215,bhp,17,Volvo,S80
107,Hyundai EON,Hyderabad,2013,84600,Petrol,Manual,Second,White,5,4,2.5,21.1,kmpl,814,CC,55.2,bhp,12,Hyundai,EON
108,Land Rover Range,Coimbatore,2017,49275,Diesel,Automatic,First,Others,5,4,45.64,12.7,kmpl,2179,CC,187.7,bhp,8,Land Rover,Range
109,Ford Figo,Chennai,2010,107389,Diesel,Manual,Second,White,5,4,1.9,20,kmpl,1399,CC,68,bhp,15,Ford,Figo
110,Tata Indica,Chennai,2016,178000,Diesel,Manual,First,Others,5,4,2.5,25,kmpl,1396,CC,69,bhp,9,Tata,Indica
111,Maruti Wagon,Kolkata,2015,14000,Petrol,Manual,First,Black/Silver,5,4,2.8,18.9,kmpl,998,CC,67.1,bhp,10,Maruti,Wagon
112,Maruti Swift,Coimbatore,2019,41075,Diesel,Manual,First,Black/Silver,5,4,8.4,28.4,kmpl,1248,CC,74,bhp,6,Maruti,Swift
113,Land Rover Range,Coimbatore,2013,75995,Diesel,Automatic,Second,White,5,4,65.81,11.49,kmpl,4367,CC,335.3,bhp,12,Land Rover,Range
114,Hyundai i10,Kochi,2014,58472,Petrol,Manual,First,Others,5,4,3.41,19.81,kmpl,1086,CC,68.05,bhp,11,Hyundai,i10
115,Toyota Innova,Coimbatore,2017,65367,Diesel,Automatic,First,Black/Silver,7,4,20.14,11.36,kmpl,2755,CC,171.5,bhp,8,Toyota,Innova
116,Skoda Fabia,Jaipur,2009,87459,Petrol,Manual,First,Others,5,4,2.75,14.7,kmpl,1390,CC,85,bhp,16,Skoda,Fabia
117,Volkswagen Vento,Kochi,2016,50867,Diesel,Manual,First,Black/Silver,5,4,7.95,20.34,kmpl,1498,CC,103.2,bhp,9,Volkswagen,Vento
118,Volkswagen Polo,Hyderabad,2013,74000,Diesel,Manual,First,Others,5,4,4.85,22.07,kmpl,1199,CC,73.9,bhp,12,Volkswagen,Polo
119,Maruti Wagon,Delhi,2011,68000,Petrol,Manual,First,White,5,4,2.5,18.9,kmpl,998,CC,67.1,bhp,14,Maruti,Wagon
120,Honda City,Pune,2014,58407,Petrol,Manual,First,Others,5,4,6.16,17.4,kmpl,1497,CC,117.3,bhp,11,Honda,City
121,Audi A4,Ahmedabad,2011,59000,Diesel,Automatic,First,Others,5,4,12.5,16.55,kmpl,1968,CC,140,bhp,14,Audi,A4
122,Maruti Swift,Coimbatore,2017,46849,Petrol,Automatic,First,White,5,4,6.93,18.5,kmpl,1197,CC,83.14,bhp,8,Maruti,Swift
123,Mercedes-Benz E-Class,Coimbatore,2018,41467,Diesel,Automatic,First,Others,5,4,37.98,15,kmpl,2143,CC,204,bhp,7,Mercedes-Benz,E-Class
124,Maruti Ciaz,Hyderabad,2017,15234,Petrol,Automatic,First,White,5,4,9.95,19.12,kmpl,1373,CC,91.1,bhp,8,Maruti,Ciaz
125,Mahindra Scorpio,Bangalore,2015,35000,Diesel,Manual,Second,Others,7,5,8.5,15.4,kmpl,2179,CC,120,bhp,10,Mahindra,Scorpio
126,Honda Brio,Mumbai,2017,20000,Petrol,Automatic,First,White,5,4,5.99,16.5,kmpl,1198,CC,86.8,bhp,8,Honda,Brio
127,Honda Amaze,Pune,2015,79000,Petrol,Manual,First,Black/Silver,5,4,4,18,kmpl,1198,CC,86.7,bhp,10,Honda,Amaze
128,Honda Jazz,Coimbatore,2017,49575,Petrol,Manual,First,White,5,4,7.17,18.7,kmpl,1199,CC,88.7,bhp,8,Honda,Jazz
129,Land Rover Discovery,Mumbai,2017,35000,Diesel,Automatic,First,White,7,5,41.6,18,kmpl,2993,CC,255,bhp,8,Land Rover,Discovery
130,Ford Ikon,Jaipur,2010,82000,Diesel,Manual,Second,White,5,4,1,13.8,kmpl,1399,CC,68,bhp,15,Ford,Ikon
131,Ford Figo,Mumbai,2010,69009,Petrol,Manual,Second,Others,5,4,2.4,15.6,kmpl,1196,CC,70,bhp,15,Ford,Figo
132,Audi A6,Kolkata,2010,35010,Diesel,Automatic,First,Black/Silver,5,4,11.5,12.4,kmpl,2698,CC,179.5,bhp,15,Audi,A6
133,Toyota Innova,Delhi,2012,62000,Diesel,Manual,First,White,7,4,7.75,12.99,kmpl,2494,CC,100,bhp,13,Toyota,Innova
134,Toyota Corolla,Chennai,2009,32000,Petrol,Manual,Second,Others,5,4,4.95,14.28,kmpl,1798,CC,138.03,bhp,16,Toyota,Corolla
135,Maruti Swift,Kochi,2015,35082,Diesel,Manual,First,Black/Silver,5,4,6.61,23.4,kmpl,1248,CC,74,bhp,10,Maruti,Swift
136,Maruti Wagon,Delhi,2009,60000,Petrol,Manual,First,Others,5,4,1.35,18.9,kmpl,1061,CC,67,bhp,16,Maruti,Wagon
137,Hyundai Santa,Coimbatore,2013,65278,Diesel,Manual,First,Others,7,5,8.36,14.66,kmpl,2199,CC,194.3,bhp,12,Hyundai,Santa
138,Maruti SX4,Jaipur,2016,70000,Diesel,Manual,First,White,5,4,8.85,23.65,kmpl,1248,CC,88.5,bhp,9,Maruti,SX4
139,Maruti Alto,Bangalore,2014,73000,Petrol,Manual,Second,Others,5,4,2.75,24.7,kmpl,796,CC,47.3,bhp,11,Maruti,Alto
140,Mahindra Bolero,Hyderabad,2017,40279,Diesel,Manual,First,Others,7,5,8,16.5,kmpl,1493,CC,70,bhp,8,Mahindra,Bolero
141,Hyundai i10,Ahmedabad,2014,51000,Petrol,Manual,First,White,5,4,3.75,20.36,kmpl,1197,CC,78.9,bhp,11,Hyundai,i10
142,Maruti Baleno,Kochi,2018,42243,Diesel,Manual,First,White,5,4,7.48,27.39,kmpl,1248,CC,74,bhp,7,Maruti,Baleno
143,Volkswagen Vento,Kolkata,2015,39000,Petrol,Manual,First,White,5,4,3.99,15.04,kmpl,1598,CC,103.2,bhp,10,Volkswagen,Vento
144,Maruti Ritz,Kolkata,2011,150000,Petrol,Manual,First,Others,5,4,2.5,18.5,kmpl,1197,CC,85.8,bhp,14,Maruti,Ritz
145,Maruti Swift,Kolkata,2016,100000,Diesel,Manual,First,Others,5,4,3.5,23.4,kmpl,1248,CC,74,bhp,9,Maruti,Swift
146,Maruti Dzire,Pune,2012,150000,Diesel,Manual,Third,White,5,4,2.25,28.4,kmpl,1248,CC,73.75,bhp,13,Maruti,Dzire
147,Renault KWID,Kolkata,2017,25000,Petrol,Manual,First,Others,5,4,2.99,25.17,kmpl,799,CC,53.3,bhp,8,Renault,KWID
148,Maruti Wagon,Hyderabad,2015,45295,Petrol,Manual,First,Black/Silver,5,4,4.3,18.9,kmpl,998,CC,67.1,bhp,10,Maruti,Wagon
149,Volkswagen Vento,Jaipur,2016,33000,Petrol,Manual,First,White,5,4,7.7,16.09,kmpl,1598,CC,103.5,bhp,9,Volkswagen,Vento
150,Maruti Swift,Hyderabad,2016,52000,Diesel,Manual,First,Others,5,4,5.95,28.4,kmpl,1248,CC,74,bhp,9,Maruti,Swift
151,Maruti Celerio,Delhi,2014,21701,Petrol,Manual,First,Black/Silver,5,4,3.38,23.1,kmpl,998,CC,67.04,bhp,11,Maruti,Celerio
152,Hyundai i20,Coimbatore,2012,38214,Petrol,Manual,Second,White,5,4,4.05,18.5,kmpl,1197,CC,80,bhp,13,Hyundai,i20
153,Maruti Ertiga,Hyderabad,2015,59245,Diesel,Manual,First,Others,7,5,8.5,20.77,kmpl,1248,CC,88.8,bhp,10,Maruti,Ertiga
154,Chevrolet Optra,Jaipur,2007,118500,Petrol,Manual,First,White,5,4,1.25,12.9,kmpl,1598,CC,102.5,bhp,18,Chevrolet,Optra
155,Honda City,Coimbatore,2018,20300,Petrol,Automatic,First,White,5,4,14.21,18,kmpl,1497,CC,117.3,bhp,7,Honda,City
156,Mercedes-Benz GLC,Bangalore,2016,44414,Diesel,Automatic,First,White,5,4,42.5,17.9,kmpl,2143,CC,170,bhp,9,Mercedes-Benz,GLC
157,Chevrolet Beat,Chennai,2012,81000,Diesel,Manual,First,White,5,4,2.5,25.44,kmpl,936,CC,56.3,bhp,13,Chevrolet,Beat
158,Honda City,Kolkata,2014,37298,Diesel,Manual,First,Black/Silver,5,4,4.9,25.1,kmpl,1498,CC,98.6,bhp,11,Honda,City
159,Toyota Corolla,Delhi,2015,12000,Petrol,Manual,First,Others,5,4,11,14.53,kmpl,1798,CC,138,bhp,10,Toyota,Corolla
160,Hyundai i20,Jaipur,2016,30292,Petrol,Manual,First,Black/Silver,5,4,6.3,18.6,kmpl,1197,CC,81.83,bhp,9,Hyundai,i20
161,Audi A4,Delhi,2012,60000,Diesel,Automatic,Second,Others,5,4,10.35,15.2,kmpl,1968,CC,140.8,bhp,13,Audi,A4
162,Hyundai i20,Ahmedabad,2011,72000,Petrol,Manual,Second,White,5,4,3.25,17,kmpl,1197,CC,80,bhp,14,Hyundai,i20
163,Ford Figo,Hyderabad,2012,73500,Diesel,Manual,Second,White,5,4,2.6,20,kmpl,1399,CC,68,bhp,13,Ford,Figo
164,BMW 3,Kochi,2012,55598,Diesel,Automatic,First,Black/Silver,5,4,11.5,22.69,kmpl,1995,CC,190,bhp,13,BMW,3
165,Maruti Swift,Delhi,2015,24296,Petrol,Manual,First,White,5,4,4.65,20.85,kmpl,1197,CC,83.14,bhp,10,Maruti,Swift
166,Toyota Fortuner,Hyderabad,2010,100000,Diesel,Manual,First,White,7,5,13,11.5,kmpl,2982,CC,171,bhp,15,Toyota,Fortuner
167,Maruti Wagon,Delhi,2013,62000,CNG,Manual,First,White,5,4,2.8,26.6,km/kg,998,CC,58.16,bhp,12,Maruti,Wagon
168,Chevrolet Beat,Coimbatore,2013,75421,Diesel,Manual,First,Others,5,4,3.63,25.44,kmpl,936,CC,56.3,bhp,12,Chevrolet,Beat
169,Honda City,Coimbatore,2012,60908,Petrol,Automatic,Second,Others,5,4,6.42,15.6,kmpl,1497,CC,116.3,bhp,13,Honda,City
170,Maruti Swift,Hyderabad,2016,69000,Diesel,Manual,First,Black/Silver,5,4,4.79,19.3,kmpl,1248,CC,73.9,bhp,9,Maruti,Swift
171,Maruti Zen,Ahmedabad,2007,75180,Petrol,Manual,First,Black/Silver,5,4,1.65,18.2,kmpl,1061,CC,64,bhp,18,Maruti,Zen
172,BMW X3,Kochi,2017,36935,Diesel,Automatic,First,White,5,4,32.64,18.56,kmpl,1995,CC,190,bhp,8,BMW,X3
173,BMW 3,Hyderabad,2012,57156,Diesel,Automatic,Second,Others,5,4,18,18.88,kmpl,1995,CC,184,bhp,13,BMW,3
174,Maruti Swift,Kochi,2016,45725,Diesel,Manual,First,White,5,4,5.34,25.2,kmpl,1248,CC,74,bhp,9,Maruti,Swift
175,Skoda Fabia,Mumbai,2009,86000,Diesel,Manual,First,White,5,4,2.75,19.4,kmpl,1422,CC,70,bhp,16,Skoda,Fabia
